adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
620100,-0.4,1.6,1701.1655347515493,1726.1592326542689
620100,-0.3,1.6,1712.2560526773286,1726.1592326542689
620100,-0.2,1.6,1722.2641331996194,1726.1592326542689
620100,-0.4,1.68,1702.8988842988697,1726.1592326542689
620100,-0.3,1.68,1713.8730595185252,1726.1592326542689
620100,-0.2,1.68,1723.7456389874103,1726.1592326542689
620100,-0.4,1.75,1746.149568898424,1726.1592326542689
620100,-0.3,1.75,1756.0231093049138,1726.1592326542689
620100,-0.2,1.75,1764.4099933619202,1726.1592326542689
