adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
231200,-0.4,1.6,1566.208410361925,1579.567910368952
231200,-0.3,1.6,1561.8876350297523,1579.567910368952
231200,-0.2,1.6,1556.8255464613712,1579.567910368952
231200,-0.4,1.68,1567.9823596886883,1579.567910368952
231200,-0.3,1.68,1563.8718178556512,1579.567910368952
231200,-0.2,1.68,1559.0554783881591,1579.567910368952
231200,-0.4,1.75,1603.6154910808473,1579.567910368952
231200,-0.3,1.75,1599.5699512264155,1579.567910368952
231200,-0.2,1.75,1594.851699825218,1579.567910368952
