adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
513400,-0.4,1.6,1282.757297316688,1306.7026616487058
513400,-0.3,1.6,1294.408774968895,1306.7026616487058
513400,-0.2,1.6,1305.7772072526168,1306.7026616487058
513400,-0.4,1.68,1286.155162985749,1306.7026616487058
513400,-0.3,1.68,1297.828203945195,1306.7026616487058
513400,-0.2,1.68,1309.1646418278506,1306.7026616487058
513400,-0.4,1.75,1331.5349930448708,1306.7026616487058
513400,-0.3,1.75,1342.9926406063314,1306.7026616487058
513400,-0.2,1.75,1353.954492398561,1306.7026616487058
