adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
230800,-0.4,1.6,1611.8196621853822,1626.066075238706
230800,-0.3,1.6,1608.6887588539719,1626.066075238706
230800,-0.2,1.6,1604.9088940396189,1626.066075238706
230800,-0.4,1.68,1612.6546943227909,1626.066075238706
230800,-0.3,1.68,1609.6867676344114,1626.066075238706
230800,-0.2,1.68,1606.060800977695,1626.066075238706
230800,-0.4,1.75,1649.1930582384628,1626.066075238706
230800,-0.3,1.75,1646.2185152171967,1626.066075238706
230800,-0.2,1.75,1642.560437093704,1626.066075238706
