adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
120000,-0.4,1.6,1616.993009875044,1639.983120345812
120000,-0.3,1.6,1626.4893977843033,1639.983120345812
120000,-0.2,1.6,1635.7605481189435,1639.983120345812
120000,-0.4,1.68,1618.8576585999995,1639.983120345812
120000,-0.3,1.68,1628.5055818874523,1639.983120345812
120000,-0.2,1.68,1637.878567400158,1639.983120345812
120000,-0.4,1.75,1660.2647916527746,1639.983120345812
120000,-0.3,1.75,1669.9627915328679,1639.983120345812
120000,-0.2,1.75,1679.224289103594,1639.983120345812
