adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
230500,-0.4,1.6,1456.9008717630466,1469.4661087554966
230500,-0.3,1.6,1453.7801249218137,1469.4661087554966
230500,-0.2,1.6,1450.0056421013528,1469.4661087554966
230500,-0.4,1.68,1458.068007704274,1469.4661087554966
230500,-0.3,1.68,1455.0398398966802,1469.4661087554966
230500,-0.2,1.68,1451.478092972926,1469.4661087554966
230500,-0.4,1.75,1492.8064699501679,1469.4661087554966
230500,-0.3,1.75,1489.6550346366432,1469.4661087554966
230500,-0.2,1.75,1486.0564554453265,1469.4661087554966
