adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
530600,-0.4,1.6,1218.398020426374,1243.8763268513171
530600,-0.3,1.6,1224.447388873938,1243.8763268513171
530600,-0.2,1.6,1230.033828768045,1243.8763268513171
530600,-0.4,1.68,1224.1925858846223,1243.8763268513171
530600,-0.3,1.68,1230.206089138241,1243.8763268513171
530600,-0.2,1.68,1235.730709607635,1243.8763268513171
530600,-0.4,1.75,1275.8530513735664,1243.8763268513171
530600,-0.3,1.75,1281.2418302320664,1243.8763268513171
530600,-0.2,1.75,1286.2502792793869,1243.8763268513171
