case,context,strategy,share,before_viable,after_viable,after_si,after_sj,after_t,total_public_usd,private_gain_usd,additional_discounted_mwh
om=0.01,cap,New technology,0.3,285,333,0,333,0,40384575.0,32984276.740425736,255800.04903717415
om=0.01,cap,Matched gap,0.3,285,336,336,0,0,4522930.6855031205,149.0,860347.2366796827
om=0.01,area,General,0.0,337,337,160,0,177,0.0,0.0,0.0
om=0.01,area,New technology,0.0,337,337,160,0,177,0.0,0.0,0.0
om=0.01,area,Matched gap,0.0,337,337,160,0,177,0.0,0.0,0.0
om=0.01,area,General,0.1,337,337,92,0,245,35949571.52703348,33294553.560858347,277625.70303099445
om=0.01,area,New technology,0.1,337,337,3,0,334,38486695.509284586,30664290.74257384,593336.5565822711
om=0.01,area,Matched gap,0.1,337,337,92,0,245,990361.6881322113,68.0,277625.70303099445
om=0.01,area,General,0.2,337,337,38,0,299,75283314.67710687,68512872.68716699,479425.303157251
om=0.01,area,New technology,0.2,337,337,0,0,337,77664768.78220902,67628907.35251068,601756.9332312269
om=0.01,area,Matched gap,0.2,337,337,38,0,299,3344926.4555815263,122.0,479425.303157251
om=0.01,area,General,0.3,337,337,10,0,327,115557105.5002469,104761996.26608485,572260.2872535071
om=0.01,area,New technology,0.3,337,337,0,0,337,116497153.17331353,104612130.58213401,601756.9332312269
om=0.01,area,Matched gap,0.3,337,337,10,0,327,5557166.920857787,150.0,572260.2872535071
om=0.02,cap,General,0.0,228,228,61,167,0,0.0,0.0,0.0
om=0.02,cap,New technology,0.0,228,228,61,167,0,0.0,0.0,0.0
om=0.02,cap,Matched gap,0.0,228,228,61,167,0,0.0,0.0,0.0
om=0.02,cap,General,0.1,228,270,143,127,0,13523426.426616007,11494867.657292247,805280.2818153326
om=0.02,cap,New technology,0.1,228,270,0,270,0,10914750.0,9319982.970776659,498960.29292942217
om=0.02,cap,Matched gap,0.1,228,270,143,127,0,1453944.5364591447,123.0,805280.2818153326
om=0.02,cap,General,0.2,228,300,243,57,0,33120851.351995654,25911386.16484589,1389999.0281308498
om=0.02,cap,New technology,0.2,228,299,0,299,0,24174150.0,20400884.965442352,915862.5092956305
om=0.02,cap,Matched gap,0.2,228,300,243,57,0,5914141.5789074665,234.0,1389999.0281308498
om=0.02,cap,General,0.3,228,324,324,0,0,57024802.703991294,42976265.83639686,1802404.450545081
om=0.02,cap,New technology,0.3,228,318,0,318,0,38565450.0,32243228.49322802,1167754.32726585
om=0.02,cap,Matched gap,0.3,228,324,324,0,0,11899999.725774594,263.0,1802404.450545081
om=0.02,area,General,0.0,337,337,269,0,68,0.0,0.0,0.0
om=0.02,area,New technology,0.0,337,337,269,0,68,0.0,0.0,0.0
om=0.02,area,Matched gap,0.0,337,337,269,0,68,0.0,0.0,0.0
om=0.02,area,General,0.1,337,337,180,0,157,33192098.352704655,30271018.1396485,408828.7262594845
om=0.02,area,New technology,0.1,337,337,26,6,305,35449131.69508347,22578200.408172693,975784.7352565917
om=0.02,area,Matched gap,0.1,337,337,180,0,157,1407622.7560737294,89.0,408828.7262594845
om=0.02,area,General,0.2,337,337,115,0,222,70457736.62203144,62792553.02343153,682529.8871999631
om=0.02,area,New technology,0.2,337,337,0,3,334,77277486.39529397,58891623.047621086,1079284.0639872123
om=0.02,area,Matched gap,0.2,337,337,115,0,222,4525717.64742832,154.0,682529.8871999631
om=0.02,area,General,0.3,337,337,51,0,286,111702910.04067366,97262802.50800481,928432.7079642651
om=0.02,area,New technology,0.3,337,337,0,0,337,116497153.17331353,95834262.99450435,1097376.2073708763
om=0.02,area,Matched gap,0.3,337,337,51,0,286,9577196.3072686,218.0,928432.7079642651
sj_deg=0.007,cap,General,0.0,291,291,0,291,0,0.0,0.0,0.0
sj_deg=0.007,cap,New technology,0.0,291,291,0,291,0,0.0,0.0,0.0
