case,context,strategy,share,before_viable,after_viable,after_si,after_sj,after_t,total_public_usd,private_gain_usd,additional_discounted_mwh
t_life=18.0,area,New technology,0.1,337,337,335,2,0,101365.1255749302,13444.499655097723,-6391.005532854057
t_life=18.0,area,Matched gap,0.1,337,337,337,0,0,0.0,0.0,0.0
t_life=18.0,area,General,0.2,337,337,337,0,0,56545031.060645126,53852410.53394775,0.0
t_life=18.0,area,New technology,0.2,337,337,315,22,0,2230032.7626484646,379496.7616917631,-80679.97458239771
t_life=18.0,area,Matched gap,0.2,337,337,337,0,0,0.0,0.0,0.0
t_life=18.0,area,General,0.3,337,337,337,0,0,84817546.5909677,80778615.80092162,0.0
t_life=18.0,area,New technology,0.3,337,337,205,78,54,30526919.31054259,4028184.3406769456,30022.22758722314
t_life=18.0,area,Matched gap,0.3,337,337,337,0,0,0.0,0.0,0.0
t_life=21.5,cap,General,0.0,258,258,123,135,0,0.0,0.0,0.0
t_life=21.5,cap,New technology,0.0,258,258,123,135,0,0.0,0.0,0.0
t_life=21.5,cap,Matched gap,0.0,258,258,123,135,0,0.0,0.0,0.0
t_life=21.5,cap,General,0.1,258,294,212,82,0,15752358.408689465,13590172.695179444,674049.7290951391
t_life=21.5,cap,New technology,0.1,258,294,0,294,0,11884950.0,9242228.968988221,256723.3444354371
t_life=21.5,cap,Matched gap,0.1,258,294,212,82,0,1482807.2787510443,124.00000000000091,674049.7290951391
t_life=21.5,cap,General,0.2,258,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
t_life=21.5,cap,New technology,0.2,258,311,0,311,0,25144350.0,20871575.615580227,487290.344632922
t_life=21.5,cap,Matched gap,0.2,258,313,313,0,0,5303902.869117841,190.00000000000182,1059572.7812735206
t_life=21.5,cap,General,0.3,258,333,333,0,0,58608825.001324385,48143616.906057514,1332423.8236313215
t_life=21.5,cap,New technology,0.3,258,330,0,330,0,40020750.0,33275112.767909054,728774.852654143
t_life=21.5,cap,Matched gap,0.3,258,333,333,0,0,8058247.749963999,210.00000000000182,1332423.8236313215
t_life=21.5,area,General,0.0,337,337,337,0,0,0.0,0.0,0.0
t_life=21.5,area,New technology,0.0,337,337,337,0,0,0.0,0.0,0.0
t_life=21.5,area,Matched gap,0.0,337,337,337,0,0,0.0,0.0,0.0
t_life=21.5,area,General,0.1,337,337,337,0,0,28272515.530322563,26926205.26697386,0.0
t_life=21.5,area,New technology,0.1,337,337,335,2,0,101365.1255749302,13444.499655097723,-6391.005532854057
t_life=21.5,area,Matched gap,0.1,337,337,337,0,0,0.0,0.0,0.0
t_life=21.5,area,General,0.2,337,337,337,0,0,56545031.060645126,53852410.53394775,0.0
t_life=21.5,area,New technology,0.2,337,337,315,22,0,2230032.7626484646,379496.7616917631,-80679.97458239771
t_life=21.5,area,Matched gap,0.2,337,337,337,0,0,0.0,0.0,0.0
t_life=21.5,area,General,0.3,337,337,337,0,0,84817546.5909677,80778615.80092162,0.0
t_life=21.5,area,New technology,0.3,337,337,141,78,118,52651007.747017555,6145810.56484291,341541.388747792
t_life=21.5,area,Matched gap,0.3,337,337,337,0,0,0.0,0.0,0.0
si_deg=0.007,cap,General,0.0,258,258,33,225,0,0.0,0.0,0.0
si_deg=0.007,cap,New technology,0.0,258,258,33,225,0,0.0,0.0,0.0
si_deg=0.007,cap,Matched gap,0.0,258,258,33,225,0,0.0,0.0,0.0
si_deg=0.007,cap,General,0.1,258,294,133,161,0,14311201.501677826,12334561.449275319,697764.2094544233
si_deg=0.007,cap,New technology,0.1,258,294,0,294,0,11884950.0,10621612.705564959,461320.2254364069
si_deg=0.007,cap,Matched gap,0.1,258,294,133,161,0,1360054.7799387397,136.0,697764.2094544233
si_deg=0.007,cap,General,0.2,258,311,241,70,0,33937231.382020384,27189065.705118358,1061508.469264604
si_deg=0.007,cap,New technology,0.2,258,311,0,311,0,25144350.0,22250959.352156967,691887.2256338919
si_deg=0.007,cap,Matched gap,0.2,258,311,241,70,0,5388979.091646105,254.00000000000455,1061508.469264604
si_deg=0.007,cap,General,0.3,258,331,331,0,0,58256820.046361476,44963490.36287424,1397570.999756756
si_deg=0.007,cap,New technology,0.3,258,330,0,330,0,40020750.0,34654496.504485786,933371.7336551128
si_deg=0.007,cap,Matched gap,0.3,258,331,331,0,0,11045468.06534353,298.0000000000018,1397570.999756756
si_deg=0.007,area,General,0.0,337,337,120,0,217,0.0,0.0,0.0
si_deg=0.007,area,New technology,0.0,337,337,120,0,217,0.0,0.0,0.0
si_deg=0.007,area,Matched gap,0.0,337,337,120,0,217,0.0,0.0,0.0
si_deg=0.007,area,General,0.1,337,337,58,0,279,37014958.88984233,34231264.91116718,267413.153725663
si_deg=0.007,area,New technology,0.1,337,337,0,4,333,38574196.13316114,32443601.38755747,459825.1369248079
si_deg=0.007,area,Matched gap,0.1,337,337,58,0,279,1072195.8331167963,62.0,267413.153725663
si_deg=0.007,area,General,0.2,337,337,32,0,305,75659333.74633351,69926750.48632672,371048.06091428024
si_deg=0.007,area,New technology,0.2,337,337,0,0,337,77664768.78220902,69315967.41507131,484146.3309817361
si_deg=0.007,area,Matched gap,0.2,337,337,32,0,305,2236338.1356904507,88.0,371048.06091428024
si_deg=0.007,area,General,0.3,337,337,9,0,328,115651110.26755355,106398689.59938292,454791.2083420806
si_deg=0.007,area,New technology,0.3,337,337,0,0,337,116497153.17331353,106299190.64469464,484146.3309817361
si_deg=0.007,area,Matched gap,0.3,337,337,9,0,328,3932602.7382014706,111.0,454791.2083420806
si_deg=0.01,cap,General,0.0,258,258,0,258,0,0.0,0.0,0.0
si_deg=0.01,cap,New technology,0.0,258,258,0,258,0,0.0,0.0,0.0
si_deg=0.01,cap,Matched gap,0.0,258,258,0,258,0,0.0,0.0,0.0
si_deg=0.01,cap,General,0.1,258,294,3,291,0,11939677.477481455,10746595.706417803,531186.6803142189
si_deg=0.01,cap,New technology,0.1,258,294,0,294,0,11884950.0,10733076.222210076,526481.3188009372
si_deg=0.01,cap,Matched gap,0.1,258,294,3,291,0,655792.9357427619,39.0,531186.6803142189
si_deg=0.01,cap,General,0.2,258,311,117,194,0,29413093.243553467,23405753.872395612,902640.824056647
si_deg=0.01,cap,New technology,0.2,258,311,0,311,0,25144350.0,22362422.868802086,757048.318998422
si_deg=0.01,cap,Matched gap,0.2,258,311,117,194,0,4837230.177538069,170.00000000000364,902640.824056647
si_deg=0.01,cap,General,0.3,258,330,236,94,0,52936434.685623296,38783058.53751805,1237516.2086731847
si_deg=0.01,cap,New technology,0.3,258,330,0,330,0,40020750.0,34765960.021130905,998532.827019643
si_deg=0.01,cap,Matched gap,0.3,258,330,236,94,0,12214536.12122934,297.99999999998636,1237516.2086731847
si_deg=0.01,area,General,0.0,337,337,35,5,297,0.0,0.0,0.0
si_deg=0.01,area,New technology,0.0,337,337,35,5,297,0.0,0.0,0.0
si_deg=0.01,area,Matched gap,0.0,337,337,35,5,297,0.0,0.0,0.0
si_deg=0.01,area,General,0.1,337,337,18,0,319,38268355.787264526,36009948.88978739,107347.04071061173
si_deg=0.01,area,New technology,0.1,337,337,0,4,333,38574196.13316114,35777453.71536943,153360.91356598923
si_deg=0.01,area,Matched gap,0.1,337,337,18,0,319,457937.8029877709,27.0,107347.04071061173
si_deg=0.01,area,General,0.2,337,337,5,0,332,77351419.55785348,72702152.65969151,159471.72869893466
si_deg=0.01,area,New technology,0.2,337,337,0,0,337,77664768.78220902,72649819.74288327,177682.10762291745
si_deg=0.01,area,Matched gap,0.2,337,337,5,0,332,1014200.2151773935,39.0,159471.72869893466
si_deg=0.01,area,General,0.3,337,337,0,0,337,116497153.17331353,109633042.97250661,177682.10762291745
si_deg=0.01,area,New technology,0.3,337,337,0,0,337,116497153.17331353,109633042.97250661,177682.10762291745
si_deg=0.01,area,Matched gap,0.3,337,337,0,0,337,1382500.0521815873,39.99999999998545,177682.10762291745
packing=0.5,cap,General,0.0,258,258,123,135,0,0.0,0.0,0.0
packing=0.5,cap,New technology,0.0,258,258,123,135,0,0.0,0.0,0.0
packing=0.5,cap,Matched gap,0.0,258,258,123,135,0,0.0,0.0,0.0
packing=0.5,cap,General,0.1,258,294,212,82,0,15752358.408689465,13590172.695179444,674049.7290951391
packing=0.5,cap,New technology,0.1,258,294,0,294,0,11884950.0,9242228.968988221,256723.3444354371
packing=0.5,cap,Matched gap,0.1,258,294,212,82,0,1482807.2787510443,124.00000000000091,674049.7290951391
packing=0.5,cap,General,0.2,258,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
packing=0.5,cap,New technology,0.2,258,311,0,311,0,25144350.0,20871575.615580227,487290.344632922
packing=0.5,cap,Matched gap,0.2,258,313,313,0,0,5303902.869117841,190.00000000000182,1059572.7812735206
packing=0.5,cap,General,0.3,258,333,333,0,0,58608825.001324385,48143616.906057514,1332423.8236313215
packing=0.5,cap,New technology,0.3,258,330,0,330,0,40020750.0,33275112.767909054,728774.852654143
packing=0.5,cap,Matched gap,0.3,258,333,333,0,0,8058247.749963999,210.00000000000182,1332423.8236313215
packing=0.5,area,General,0.0,337,337,204,0,133,0.0,0.0,0.0
packing=0.5,area,New technology,0.0,337,337,204,0,133,0.0,0.0,0.0
packing=0.5,area,Matched gap,0.0,337,337,204,0,133,0.0,0.0,0.0
packing=0.5,area,General,0.1,337,337,133,0,204,26665261.313212093,24548687.860504124,236220.71408789966
packing=0.5,area,New technology,0.1,337,337,8,2,327,29062656.341497198,20803893.13906214,584317.9922331343
packing=0.5,area,Matched gap,0.1,337,337,133,0,204,889213.6096827671,71.0,236220.71408789966
packing=0.5,area,General,0.2,337,337,70,0,267,56367599.72402411,50616712.70623041,427468.3674739528
packing=0.5,area,New technology,0.2,337,337,0,0,337,59742129.83246846,49120626.44901868,611923.8780104988
packing=0.5,area,Matched gap,0.2,337,337,70,0,267,3220192.082482178,134.0,427468.3674739528
packing=0.5,area,General,0.3,337,337,32,0,305,87299231.24576941,78011158.35895877,533758.4226388597
packing=0.5,area,New technology,0.3,337,337,0,0,337,89613194.74870266,77569259.70257507,611923.8780104988
packing=0.5,area,Matched gap,0.3,337,337,32,0,305,5387695.5688626915,172.0,533758.4226388597
packing=0.8,cap,General,0.0,258,258,123,135,0,0.0,0.0,0.0
packing=0.8,cap,New technology,0.0,258,258,123,135,0,0.0,0.0,0.0
packing=0.8,cap,Matched gap,0.0,258,258,123,135,0,0.0,0.0,0.0
packing=0.8,cap,General,0.1,258,294,212,82,0,15752358.408689465,13590172.695179444,674049.7290951391
packing=0.8,cap,New technology,0.1,258,294,0,294,0,11884950.0,9242228.968988221,256723.3444354371
packing=0.8,cap,Matched gap,0.1,258,294,212,82,0,1482807.2787510443,124.00000000000091,674049.7290951391
packing=0.8,cap,General,0.2,258,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
packing=0.8,cap,New technology,0.2,258,311,0,311,0,25144350.0,20871575.615580227,487290.344632922
packing=0.8,cap,Matched gap,0.2,258,313,313,0,0,5303902.869117841,190.00000000000182,1059572.7812735206
packing=0.8,cap,General,0.3,258,333,333,0,0,58608825.001324385,48143616.906057514,1332423.8236313215
packing=0.8,cap,New technology,0.3,258,330,0,330,0,40020750.0,33275112.767909054,728774.852654143
packing=0.8,cap,Matched gap,0.3,258,333,333,0,0,8058247.749963999,210.00000000000182,1332423.8236313215
packing=0.8,area,General,0.0,337,337,204,0,133,0.0,0.0,0.0
packing=0.8,area,New technology,0.0,337,337,204,0,133,0.0,0.0,0.0
packing=0.8,area,Matched gap,0.0,337,337,204,0,133,0.0,0.0,0.0
packing=0.8,area,General,0.1,337,337,133,0,204,42664418.10113935,39277900.57680662,377953.14254063944
packing=0.8,area,New technology,0.1,337,337,8,2,327,46500250.14639552,33286229.02249945,934908.7875730149
packing=0.8,area,Matched gap,0.1,337,337,133,0,204,1422697.0454924162,71.0,377953.14254063944
packing=0.8,area,General,0.2,337,337,70,0,267,90188159.55843858,80986740.32996865,683949.3879583244
packing=0.8,area,New technology,0.2,337,337,0,0,337,95587407.73194954,78593002.31842987,979078.204816798
packing=0.8,area,Matched gap,0.2,337,337,70,0,267,5152222.911971471,134.0,683949.3879583244
packing=0.8,area,General,0.3,337,337,32,0,305,139678769.99323106,124817853.37433407,854013.4762221754
packing=0.8,area,New technology,0.3,337,337,0,0,337,143381111.5979243,124110815.52412014,979078.204816798
packing=0.8,area,Matched gap,0.3,337,337,32,0,305,8620204.550180286,172.0,854013.4762221754
site=0.0,cap,General,0.0,258,258,123,135,0,0.0,0.0,0.0
site=0.0,cap,New technology,0.0,258,258,123,135,0,0.0,0.0,0.0
site=0.0,cap,Matched gap,0.0,258,258,123,135,0,0.0,0.0,0.0
site=0.0,cap,General,0.1,258,294,212,82,0,15752358.408689465,13590172.695179444,674049.7290951391
site=0.0,cap,New technology,0.1,258,294,0,294,0,11884950.0,9242228.968988221,256723.3444354371
site=0.0,cap,Matched gap,0.1,258,294,212,82,0,1482807.2787510443,124.00000000000091,674049.7290951391
site=0.0,cap,General,0.2,258,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
site=0.0,cap,New technology,0.2,258,311,0,311,0,25144350.0,20871575.615580227,487290.344632922
site=0.0,cap,Matched gap,0.2,258,313,313,0,0,5303902.869117841,190.00000000000182,1059572.7812735206
site=0.0,cap,General,0.3,258,333,333,0,0,58608825.001324385,48143616.906057514,1332423.8236313215
site=0.0,cap,New technology,0.3,258,330,0,330,0,40020750.0,33275112.767909054,728774.852654143
site=0.0,cap,Matched gap,0.3,258,333,333,0,0,8058247.749963999,210.00000000000182,1332423.8236313215
site=0.0,area,General,0.0,337,337,204,0,133,0.0,0.0,0.0
site=0.0,area,New technology,0.0,337,337,204,0,133,0.0,0.0,0.0
site=0.0,area,Matched gap,0.0,337,337,204,0,133,0.0,0.0,0.0
site=0.0,area,General,0.1,337,337,133,0,204,34664839.70717573,31913294.218655378,307086.9283142697
site=0.0,area,New technology,0.1,337,337,8,2,327,37781453.243946366,27045061.080780827,759613.3899030752
site=0.0,area,Matched gap,0.1,337,337,133,0,204,1155955.327587583,71.0,307086.9283142697
site=0.0,area,General,0.2,337,337,70,0,267,73277879.64123136,65801726.51809957,555708.8777161391
site=0.0,area,New technology,0.2,337,337,0,0,337,77664768.78220902,63856814.38372435,795501.041413649
site=0.0,area,Matched gap,0.2,337,337,70,0,267,4186207.497226808,134.0,555708.8777161391
site=0.0,area,General,0.3,337,337,32,0,305,113489000.61950026,101414505.86664648,693885.9494305181
site=0.0,area,New technology,0.3,337,337,0,0,337,116497153.17331353,100840037.61334768,795501.041413649
site=0.0,area,Matched gap,0.3,337,337,32,0,305,7003950.059521465,172.0,693885.9494305181
site=50.0,cap,General,0.0,258,258,123,135,0,0.0,0.0,0.0
site=50.0,cap,New technology,0.0,258,258,123,135,0,0.0,0.0,0.0
site=50.0,cap,Matched gap,0.0,258,258,123,135,0,0.0,0.0,0.0
site=50.0,cap,General,0.1,258,294,212,82,0,15752358.408689465,13590172.695179444,674049.7290951391
site=50.0,cap,New technology,0.1,258,294,0,294,0,11884950.0,9242228.968988221,256723.3444354371
site=50.0,cap,Matched gap,0.1,258,294,212,82,0,1482807.2787510443,124.00000000000091,674049.7290951391
site=50.0,cap,General,0.2,258,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
site=50.0,cap,New technology,0.2,258,311,0,311,0,25144350.0,20871575.615580227,487290.344632922
site=50.0,cap,Matched gap,0.2,258,313,313,0,0,5303902.869117841,190.00000000000182,1059572.7812735206
site=50.0,cap,General,0.3,258,333,333,0,0,58608825.001324385,48143616.906057514,1332423.8236313215
site=50.0,cap,New technology,0.3,258,330,0,330,0,40020750.0,33275112.767909054,728774.852654143
site=50.0,cap,Matched gap,0.3,258,333,333,0,0,8058247.749963999,210.00000000000182,1332423.8236313215
site=50.0,area,General,0.0,332,332,199,0,133,0.0,0.0,0.0
site=50.0,area,New technology,0.0,332,332,199,0,133,0.0,0.0,0.0
site=50.0,area,Matched gap,0.0,332,332,199,0,133,0.0,0.0,0.0
site=50.0,area,General,0.1,332,335,131,0,204,34497050.29750023,31605697.663002055,360286.18385102774
site=50.0,area,New technology,0.1,332,332,5,0,327,37680088.118371435,27031616.58112573,766004.3954359293
site=50.0,area,Matched gap,0.1,332,335,131,0,204,1311145.4513480654,74.0,360286.18385102774
site=50.0,area,General,0.2,332,337,70,0,267,73277879.64123136,65414289.0091396,642610.441370968
site=50.0,area,New technology,0.2,332,335,0,0,335,77203850.27311578,63549021.05698012,843149.5141304639
site=50.0,area,Matched gap,0.2,332,337,70,0,267,4593022.131634774,139.0,642610.441370968
site=50.0,area,General,0.3,332,337,32,0,305,113489000.61950026,101027068.35768652,780787.513085347
site=50.0,area,New technology,0.3,332,337,0,0,337,116497153.17331353,100452600.10438772,882402.605068478
site=50.0,area,Matched gap,0.3,332,337,32,0,305,7410764.69392943,177.0,780787.513085347
