spatial_case,accounting,context,strategy,support_fraction,before_viable,after_viable,new_viable,before_target,after_target,new_target,supported_projects,baseline_adopters_paid,before_npv_usd,after_npv_usd,private_gain_usd,direct_support_usd,admin_usd,public_cost_usd,extra_mwh,full_instrument_ceiling_usd,matched_set_is_global_rank_prefix,all_choices_match_uniform,objective_support_usd,other_switch_support_usd,baseline_adopter_support_usd,public_cost_usd_uniform,saving_pct
Alternative area estimator,Central,area,Uniform,0.5,337,337,0,133,337,204,337,133,308818315.6574989,348975782.18679523,40157466.52929637,50285089.81324729,2514254.4906623648,52799344.30390966,795276.1513082914,298427.83271956845,1,1,30439638.93739599,0.0,19845450.875851303,52799344.30390966,0.0
Alternative area estimator,Central,area,Matched additions,0.5,337,337,0,133,337,204,204,0,308818315.6574989,308818519.6574989,204.00000000001455,10127827.283950929,506391.36419754644,10634218.648148475,795276.1513082914,298427.83271956845,1,1,10127827.28395093,0.0,0.0,52799344.30390966,79.85918426005712
Alternative area estimator,Central,area,Strict selections,0.5,337,337,0,133,337,204,204,0,308818315.6574989,308818519.6574989,204.00000000001455,10127827.283950929,506391.36419754644,10634218.648148475,795276.1513082914,298427.83271956845,1,1,10127827.28395093,0.0,0.0,52799344.30390966,79.85918426005712
Alternative area estimator,Half replacement cost,cap,Uniform,0.5,306,324,18,306,324,18,324,306,48063813.242816165,58687615.29149521,10623802.04867904,10923852.272730092,546192.6136365046,11470044.886366596,232719.41693064937,67431.18686870427,1,1,606880.6818183386,0.0,10316971.590911753,11470044.886366596,0.0
Alternative area estimator,Half replacement cost,cap,Matched additions,0.5,306,324,18,306,324,18,18,0,48063813.242816165,48063831.242816165,18.0,300068.22405105154,15003.411202552577,315071.63525360415,232719.41693064937,67431.18686870427,1,1,300068.2240510516,0.0,0.0,11470044.886366596,97.25309152339847
Alternative area estimator,Half replacement cost,cap,Strict selections,0.5,306,324,18,306,324,18,18,0,48063813.242816165,48063831.242816165,18.0,300068.22405105154,15003.411202552577,315071.63525360415,232719.41693064937,67431.18686870427,1,1,300068.2240510516,0.0,0.0,11470044.886366596,97.25309152339847
Alternative area estimator,Half replacement cost,area,Uniform,0.5,337,337,0,133,333,200,333,133,308998508.1749524,349052901.5963987,40054393.42144632,49688234.14780816,2484411.707390408,52172645.85519857,802037.1942437105,298427.83271956845,0,1,29842783.271956854,0.0,19845450.875851303,52172645.85519857,0.0
Alternative area estimator,Half replacement cost,area,Matched additions,0.5,337,337,0,133,333,200,200,0,308998508.1749524,308998708.1749524,200.0,9634040.726361835,481702.0363180918,10115742.762679927,802037.1942437105,298427.83271956845,0,1,9634040.726361837,0.0,0.0,52172645.85519857,80.61102212305767
Alternative area estimator,Half replacement cost,area,Strict selections,0.5,337,337,0,133,333,200,200,0,308998508.1749524,308998708.1749524,200.0,9634040.726361835,481702.0363180918,10115742.762679927,802037.1942437105,298427.83271956845,0,1,9634040.726361837,0.0,0.0,52172645.85519857,80.61102212305767
Alternative area estimator,Remaining-life salvage,cap,Uniform,0.5,322,336,14,322,336,14,336,322,56757225.41656447,79069642.43820956,22312417.021645088,22656878.787884638,1132843.939394232,23789722.72727887,168513.3989549235,134862.37373740855,1,1,944036.6161618598,0.0,21712842.171722777,23789722.72727887,0.0
Alternative area estimator,Remaining-life salvage,cap,Matched additions,0.5,322,336,14,322,336,14,14,0,56757225.41656447,56757239.41656447,14.0,344475.7662395496,17223.78831197748,361699.55455152714,168513.3989549235,134862.37373740855,1,1,344475.7662395496,0.0,0.0,23789722.72727887,98.47959743500172
Alternative area estimator,Remaining-life salvage,cap,Strict selections,0.5,322,336,14,322,336,14,14,0,56757225.41656447,56757239.41656447,14.0,344475.7662395496,17223.78831197748,361699.55455152714,168513.3989549235,134862.37373740855,1,1,344475.7662395496,0.0,0.0,23789722.72727887,98.47959743500172
Alternative area estimator,Remaining-life salvage,area,Uniform,0.5,337,337,0,133,328,195,328,133,309830417.7011484,349254448.71738446,39424031.01623607,48942164.56600924,2447108.228300462,51389272.794309705,883092.0546310979,298427.83271956845,0,1,29096713.690157928,0.0,19845450.875851303,51389272.794309705,0.0
Alternative area estimator,Remaining-life salvage,area,Matched additions,0.5,337,337,0,133,328,195,195,0,309830417.7011484,309830612.7011484,195.0,9518328.549773164,475916.4274886582,9994244.977261823,883092.0546310979,298427.83271956845,0,1,9518328.549773166,0.0,0.0,51389272.794309705,80.55188479264007
Alternative area estimator,Remaining-life salvage,area,Strict selections,0.5,337,337,0,133,328,195,195,0,309830417.7011484,309830612.7011484,195.0,9518328.549773164,475916.4274886582,9994244.977261823,883092.0546310979,298427.83271956845,0,1,9518328.549773166,0.0,0.0,51389272.794309705,80.55188479264007
Alternative ratios with primary c-Si,Central,cap,Uniform,0.5,258,306,48,128,306,178,306,128,30559367.87128733,48060731.654806815,17501363.783519488,20633943.181823507,1031697.1590911754,21665640.34091468,397473.65063384984,134862.37373740855,1,1,3236696.969697805,8766054.292931555,8631191.919194147,21665640.34091468,0.0
Alternative ratios with primary c-Si,Central,cap,Matched additions,0.5,258,306,48,128,176,48,48,0,30559367.87128733,30559415.87128733,48.0,1276051.7204241408,63802.58602120704,1339854.3064453478,689605.7913169768,134862.37373740855,1,0,1276051.7204241406,0.0,0.0,21665640.34091468,93.81576410684208
Alternative ratios with primary c-Si,Central,cap,Strict selections,0.5,258,306,48,128,306,178,178,0,30559367.87128733,30559545.87128733,178.0,3132757.3983040215,156637.86991520107,3289395.268219223,397473.65063384984,134862.37373740855,1,1,1276051.7204241406,1856705.677879881,0.0,21665640.34091468,84.81745650504807
Alternative ratios with primary c-Si,Central,area,Uniform,0.5,337,337,0,133,337,204,337,133,308807072.6870662,348963597.2559904,40156524.56892421,50285089.81324729,2514254.4906623648,52799344.30390966,795264.3768036396,298427.83271956845,1,1,30439638.93739599,0.0,19845450.875851303,52799344.30390966,0.0
Alternative ratios with primary c-Si,Central,area,Matched additions,0.5,337,337,0,133,337,204,204,0,308807072.6870662,308807276.6870662,204.0,10128769.244323082,506438.46221615415,10635207.706539236,795264.3768036396,298427.83271956845,1,1,10128769.244323084,0.0,0.0,52799344.30390966,79.85731102014513
Alternative ratios with primary c-Si,Central,area,Strict selections,0.5,337,337,0,133,337,204,204,0,308807072.6870662,308807276.6870662,204.0,10128769.244323082,506438.46221615415,10635207.706539236,795264.3768036396,298427.83271956845,1,1,10128769.244323084,0.0,0.0,52799344.30390966,79.85731102014513
Alternative ratios with primary c-Si,Half replacement cost,cap,Uniform,0.5,306,324,18,306,324,18,324,306,48060731.65480684,58684388.22900923,10623656.574202403,10923852.272730092,546192.6136365046,11470044.886366596,232715.78006873344,67431.18686870427,1,1,606880.6818183386,0.0,10316971.590911753,11470044.886366596,0.0
Alternative ratios with primary c-Si,Half replacement cost,cap,Matched additions,0.5,306,324,18,306,324,18,18,0,48060731.65480684,48060749.65480684,18.0,300213.6985276885,15010.684926384427,315224.38345407293,232715.78006873344,67431.18686870427,1,1,300213.69852768845,0.0,0.0,11470044.886366596,97.25175980933822
Alternative ratios with primary c-Si,Half replacement cost,cap,Strict selections,0.5,306,324,18,306,324,18,18,0,48060731.65480684,48060749.65480684,18.0,300213.6985276885,15010.684926384427,315224.38345407293,232715.78006873344,67431.18686870427,1,1,300213.69852768845,0.0,0.0,11470044.886366596,97.25175980933822
Alternative ratios with primary c-Si,Half replacement cost,area,Uniform,0.5,337,337,0,133,333,200,333,133,308987305.45421106,349040748.50164306,40053443.04743205,49688234.14780816,2484411.707390408,52172645.85519857,802025.3145685322,298427.83271956845,0,1,29842783.271956854,0.0,19845450.875851303,52172645.85519857,0.0
Alternative ratios with primary c-Si,Half replacement cost,area,Matched additions,0.5,337,337,0,133,333,200,200,0,308987305.45421106,308987505.45421106,200.0,9634991.100376107,481749.5550188054,10116740.655394912,802025.3145685322,298427.83271956845,0,1,9634991.100376107,0.0,0.0,52172645.85519857,80.60910944889935
Alternative ratios with primary c-Si,Half replacement cost,area,Strict selections,0.5,337,337,0,133,333,200,200,0,308987305.45421106,308987505.45421106,200.0,9634991.100376107,481749.5550188054,10116740.655394912,802025.3145685322,298427.83271956845,0,1,9634991.100376107,0.0,0.0,52172645.85519857,80.60910944889935
Alternative ratios with primary c-Si,Remaining-life salvage,cap,Uniform,0.5,322,336,14,322,336,14,336,322,56754014.40232827,79066322.39109334,22312307.988765083,22656878.787884638,1132843.939394232,23789722.72727887,168510.67313292346,134862.37373740855,1,1,944036.6161618598,0.0,21712842.171722777,23789722.72727887,0.0
Alternative ratios with primary c-Si,Remaining-life salvage,cap,Matched additions,0.5,322,336,14,322,336,14,14,0,56754014.40232827,56754028.40232827,14.0,344584.7991195513,17229.239955977566,361814.0390755289,168510.67313292346,134862.37373740855,1,1,344584.7991195513,0.0,0.0,23789722.72727887,98.47911619978383
Alternative ratios with primary c-Si,Remaining-life salvage,cap,Strict selections,0.5,322,336,14,322,336,14,14,0,56754014.40232827,56754028.40232827,14.0,344584.7991195513,17229.239955977566,361814.0390755289,168510.67313292346,134862.37373740855,1,1,344584.7991195513,0.0,0.0,23789722.72727887,98.47911619978383
Alternative ratios with primary c-Si,Remaining-life salvage,area,Uniform,0.5,337,337,0,133,328,195,328,133,309819357.6657865,349242338.96059906,39422981.29481262,48942164.56600924,2447108.228300462,51389272.794309705,883078.9331133051,298427.83271956845,0,1,29096713.690157928,0.0,19845450.875851303,51389272.794309705,0.0
Alternative ratios with primary c-Si,Remaining-life salvage,area,Matched additions,0.5,337,337,0,133,328,195,195,0,309819357.6657865,309819552.6657865,195.0,9519378.271196613,475968.9135598307,9995347.184756445,883078.9331133051,298427.83271956845,0,1,9519378.271196615,0.0,0.0,51389272.794309705,80.5497399724574
Alternative ratios with primary c-Si,Remaining-life salvage,area,Strict selections,0.5,337,337,0,133,328,195,195,0,309819357.6657865,309819552.6657865,195.0,9519378.271196613,475968.9135598307,9995347.184756445,883078.9331133051,298427.83271956845,0,1,9519378.271196615,0.0,0.0,51389272.794309705,80.5497399724574
