spatial_case,accounting,context,strategy,support_fraction,before_viable,after_viable,new_viable,before_target,after_target,new_target,supported_projects,baseline_adopters_paid,before_npv_usd,after_npv_usd,private_gain_usd,direct_support_usd,admin_usd,public_cost_usd,extra_mwh,full_instrument_ceiling_usd,matched_set_is_global_rank_prefix,all_choices_match_uniform,objective_support_usd,other_switch_support_usd,baseline_adopter_support_usd
Primary,Central,cap,Matched additions,0.75,258,325,67,135,202,67,67,0,30615326.90499036,30615393.90499036,67.0,2818367.1828478854,140918.35914239427,2959285.5419902797,936644.4589693836,134862.37373740855,1,0,2818367.182847886,0.0,0.0
Primary,Central,cap,Strict selections,0.75,258,325,67,135,325,190,190,0,30615326.90499036,30615516.90499036,190.0,4309337.43606974,215466.871803487,4524804.307873228,666886.4846038837,134862.37373740855,1,1,2818367.182847886,1490970.253221855,0.0
Primary,Central,cap,Uniform,1.0,258,333,75,135,333,198,333,135,30615326.90499036,70300721.16556695,39685394.26057659,44909170.45455705,2245458.522727852,47154628.9772849,764271.7463773792,134862.37373740855,1,1,10114678.030305639,16588071.96970125,18206420.454550147
Primary,Central,cap,Matched additions,1.0,258,333,75,135,210,75,75,0,30615326.90499036,30615401.90499036,75.0,3733003.9407586055,186650.19703793028,3919654.137796536,1034029.7207428791,134862.37373740855,1,0,3733003.940758605,0.0,0.0
Primary,Central,cap,Strict selections,1.0,258,333,75,135,333,198,198,0,30615326.90499036,30615524.90499036,198.0,5223974.19398046,261198.70969902302,5485172.903679484,764271.7463773792,134862.37373740855,1,1,3733003.940758605,1490970.253221855,0.0
Primary,Central,area,Uniform,0.0,337,337,0,133,133,0,0,0,308817476.75422394,308817476.75422394,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Primary,Central,area,Matched additions,0.0,337,337,0,133,133,0,0,0,308817476.75422394,308817476.75422394,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Primary,Central,area,Strict selections,0.0,337,337,0,133,133,0,0,0,308817476.75422394,308817476.75422394,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Primary,Central,area,Uniform,0.25,337,337,0,133,291,158,291,133,308817476.75422394,324985102.74864256,16167625.994418599,21710624.830348607,1085531.2415174304,22796156.07186604,644710.9846122139,298427.83271956845,1,1,11787899.392422955,0.0,9922725.437925652
Primary,Central,area,Matched additions,0.25,337,337,0,133,291,158,158,0,308817476.75422394,308817634.75422394,158.0,5543156.835930002,277157.8417965001,5820314.6777265025,644710.9846122139,298427.83271956845,1,1,5543156.835930002,0.0,0.0
Primary,Central,area,Strict selections,0.25,337,337,0,133,291,158,158,0,308817476.75422394,308817634.75422394,158.0,5543156.835930002,277157.8417965001,5820314.6777265025,644710.9846122139,298427.83271956845,1,1,5543156.835930002,0.0,0.0
Primary,Central,area,Uniform,0.5,337,337,0,133,337,204,337,133,308817476.75422394,348992934.49194896,40175457.73772495,50285089.81324729,2514254.4906623648,52799344.30390966,795501.041413649,298427.83271956845,1,1,30439638.93739599,0.0,19845450.875851303
Primary,Central,area,Matched additions,0.5,337,337,0,133,337,204,204,0,308817476.75422394,308817680.75422394,204.0,10109836.075522343,505491.80377611716,10615327.87929846,795501.041413649,298427.83271956845,1,1,10109836.075522345,0.0,0.0
Primary,Central,area,Strict selections,0.5,337,337,0,133,337,204,204,0,308817476.75422394,308817680.75422394,204.0,10109836.075522343,505491.80377611716,10615327.87929846,795501.041413649,298427.83271956845,1,1,10109836.075522345,0.0,0.0
Primary,Central,area,Uniform,0.75,337,337,0,133,337,204,337,133,308817476.75422394,374135479.39857256,65318002.64434859,75427634.71987092,3771381.7359935464,79199016.45586447,795501.041413649,298427.83271956845,1,1,45659458.40609398,0.0,29768176.31377696
Primary,Central,area,Matched additions,0.75,337,337,0,133,337,204,204,0,308817476.75422394,308817680.75422394,204.0,10109836.075522343,505491.80377611716,10615327.87929846,795501.041413649,298427.83271956845,1,1,10109836.075522345,0.0,0.0
Primary,Central,area,Strict selections,0.75,337,337,0,133,337,204,204,0,308817476.75422394,308817680.75422394,204.0,10109836.075522343,505491.80377611716,10615327.87929846,795501.041413649,298427.83271956845,1,1,10109836.075522345,0.0,0.0
Primary,Central,area,Uniform,1.0,337,337,0,133,337,204,337,133,308817476.75422394,399278024.30519617,90460547.55097221,100570179.62649459,5028508.9813247295,105598688.60781932,795501.041413649,298427.83271956845,1,1,60879277.87479198,0.0,39690901.75170261
Primary,Central,area,Matched additions,1.0,337,337,0,133,337,204,204,0,308817476.75422394,308817680.75422394,204.0,10109836.075522343,505491.80377611716,10615327.87929846,795501.041413649,298427.83271956845,1,1,10109836.075522345,0.0,0.0
Primary,Central,area,Strict selections,1.0,337,337,0,133,337,204,204,0,308817476.75422394,308817680.75422394,204.0,10109836.075522343,505491.80377611716,10615327.87929846,795501.041413649,298427.83271956845,1,1,10109836.075522345,0.0,0.0
Primary,Half replacement cost,cap,Uniform,0.0,306,306,0,306,306,0,0,0,48542963.15822594,48542963.15822594,0.0,0.0,0.0,0.0,0.0,67431.18686870427,1,1,0.0,0.0,0.0
Primary,Half replacement cost,cap,Matched additions,0.0,306,306,0,306,306,0,0,0,48542963.15822594,48542963.15822594,0.0,0.0,0.0,0.0,0.0,67431.18686870427,1,1,0.0,0.0,0.0
Primary,Half replacement cost,cap,Strict selections,0.0,306,306,0,306,306,0,0,0,48542963.15822594,48542963.15822594,0.0,0.0,0.0,0.0,0.0,67431.18686870427,1,1,0.0,0.0,0.0
Primary,Half replacement cost,cap,Uniform,0.25,306,317,11,306,317,11,317,306,48542963.15822594,53771111.331741035,5228148.173515104,5343921.559344813,267196.07796724065,5611117.637312054,143907.18745710072,67431.18686870427,1,1,185435.76388893675,0.0,5158485.795455877
Primary,Half replacement cost,cap,Matched additions,0.25,306,317,11,306,317,11,11,0,48542963.15822594,48542974.15822594,11.0,115784.38582970947,5789.219291485474,121573.60512119495,143907.18745710072,67431.18686870427,1,1,115784.38582970948,0.0,0.0
Primary,Half replacement cost,cap,Strict selections,0.25,306,317,11,306,317,11,11,0,48542963.15822594,48542974.15822594,11.0,115784.38582970947,5789.219291485474,121573.60512119495,143907.18745710072,67431.18686870427,1,1,115784.38582970948,0.0,0.0
Primary,Half replacement cost,cap,Uniform,0.5,306,325,19,306,325,19,325,306,48542963.15822594,59178883.06741397,10635919.909188043,10957567.866164444,547878.3933082222,11505446.259472666,245525.06652595592,67431.18686870427,1,1,640596.2752526908,0.0,10316971.590911753
Primary,Half replacement cost,cap,Matched additions,0.5,306,325,19,306,325,19,19,0,48542963.15822594,48542982.15822594,19.0,321666.95697640185,16083.347848820093,337750.30482522195,245525.06652595592,67431.18686870427,1,1,321666.95697640185,0.0,0.0
Primary,Half replacement cost,cap,Strict selections,0.5,306,325,19,306,325,19,19,0,48542963.15822594,48542982.15822594,19.0,321666.95697640185,16083.347848820093,337750.30482522195,245525.06652595592,67431.18686870427,1,1,321666.95697640185,0.0,0.0
Primary,Half replacement cost,cap,Uniform,0.75,306,330,24,306,330,24,330,306,48542963.15822594,64716950.08957615,16173986.931350216,16689218.750004306,834460.9375002154,17523679.687504523,307413.4345762153,67431.18686870427,1,1,1213761.363636677,0.0,15475457.38636763
Primary,Half replacement cost,cap,Matched additions,0.75,306,330,24,306,330,24,24,0,48542963.15822594,48542987.15822594,24.0,515255.81865408964,25762.790932704484,541018.6095867942,307413.4345762153,67431.18686870427,1,1,515255.81865408964,0.0,0.0
Primary,Half replacement cost,cap,Strict selections,0.75,306,330,24,306,330,24,24,0,48542963.15822594,48542987.15822594,24.0,515255.81865408964,25762.790932704484,541018.6095867942,307413.4345762153,67431.18686870427,1,1,515255.81865408964,0.0,0.0
Primary,Half replacement cost,cap,Uniform,1.0,306,333,27,306,333,27,333,306,48542963.15822594,70300721.16556697,21757758.00734104,22454585.227278523,1122729.261363926,23577314.48864245,342910.3282994513,67431.18686870427,1,1,1820642.0454550157,0.0,20633943.181823507
Primary,Half replacement cost,cap,Matched additions,1.0,306,333,27,306,333,27,27,0,48542963.15822594,48542990.15822594,27.0,696854.2199374867,34842.71099687434,731696.9309343611,342910.3282994513,67431.18686870427,1,1,696854.2199374867,0.0,0.0
Primary,Half replacement cost,cap,Strict selections,1.0,306,333,27,306,333,27,27,0,48542963.15822594,48542990.15822594,27.0,696854.2199374867,34842.71099687434,731696.9309343611,342910.3282994513,67431.18686870427,1,1,696854.2199374867,0.0,0.0
Primary,Half replacement cost,area,Uniform,0.0,337,337,0,133,133,0,0,0,309028272.2751542,309028272.2751542,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Primary,Half replacement cost,area,Matched additions,0.0,337,337,0,133,133,0,0,0,309028272.2751542,309028272.2751542,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Primary,Half replacement cost,area,Strict selections,0.0,337,337,0,133,133,0,0,0,309028272.2751542,309028272.2751542,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Primary,Half replacement cost,area,Uniform,0.25,337,337,0,133,291,158,291,133,309028272.2751542,325195898.26957273,16167625.994418599,21710624.830348607,1085531.2415174304,22796156.07186604,644710.9846122139,298427.83271956845,0,1,11787899.392422955,0.0,9922725.437925652
Primary,Half replacement cost,area,Matched additions,0.25,337,337,0,133,291,158,158,0,309028272.2751542,309028430.2751542,158.0,5543156.835930002,277157.8417965001,5820314.6777265025,644710.9846122139,298427.83271956845,0,1,5543156.835930002,0.0,0.0
Primary,Half replacement cost,area,Strict selections,0.25,337,337,0,133,291,158,158,0,309028272.2751542,309028430.2751542,158.0,5543156.835930002,277157.8417965001,5820314.6777265025,644710.9846122139,298427.83271956845,0,1,5543156.835930002,0.0,0.0
Primary,Half replacement cost,area,Uniform,0.5,337,337,0,133,333,200,333,133,309028272.2751542,349090995.13511395,40062722.859959766,49688234.14780816,2484411.707390408,52172645.85519857,802141.3122251285,298427.83271956845,0,1,29842783.271956854,0.0,19845450.875851303
Primary,Half replacement cost,area,Matched additions,0.5,337,337,0,133,333,200,200,0,309028272.2751542,309028472.2751542,200.0,9625711.287848393,481285.56439241965,10106996.852240812,802141.3122251285,298427.83271956845,0,1,9625711.287848393,0.0,0.0
Primary,Half replacement cost,area,Strict selections,0.5,337,337,0,133,333,200,200,0,309028272.2751542,309028472.2751542,200.0,9625711.287848393,481285.56439241965,10106996.852240812,802141.3122251285,298427.83271956845,0,1,9625711.287848393,0.0,0.0
Primary,Half replacement cost,area,Uniform,0.75,337,337,0,133,337,204,337,133,309028272.2751542,374135479.39857256,65107207.123418406,75427634.71987092,3771381.7359935464,79199016.45586447,826462.5062820567,298427.83271956845,1,1,45659458.40609398,0.0,29768176.31377696
Primary,Half replacement cost,area,Matched additions,0.75,337,337,0,133,337,204,204,0,309028272.2751542,309028476.2751542,203.9999999999709,10320631.59645253,516031.57982262655,10836663.176275158,826462.5062820567,298427.83271956845,1,1,10320631.59645253,0.0,0.0
Primary,Half replacement cost,area,Strict selections,0.75,337,337,0,133,337,204,204,0,309028272.2751542,309028476.2751542,203.9999999999709,10320631.59645253,516031.57982262655,10836663.176275158,826462.5062820567,298427.83271956845,1,1,10320631.59645253,0.0,0.0
Primary,Half replacement cost,area,Uniform,1.0,337,337,0,133,337,204,337,133,309028272.2751542,399278024.30519617,90249752.03004202,100570179.62649459,5028508.9813247295,105598688.60781932,826462.5062820567,298427.83271956845,1,1,60879277.87479198,0.0,39690901.75170261
Primary,Half replacement cost,area,Matched additions,1.0,337,337,0,133,337,204,204,0,309028272.2751542,309028476.2751542,203.9999999999709,10320631.59645253,516031.57982262655,10836663.176275158,826462.5062820567,298427.83271956845,1,1,10320631.59645253,0.0,0.0
Primary,Half replacement cost,area,Strict selections,1.0,337,337,0,133,337,204,204,0,309028272.2751542,309028476.2751542,203.9999999999709,10320631.59645253,516031.57982262655,10836663.176275158,826462.5062820567,298427.83271956845,1,1,10320631.59645253,0.0,0.0
Primary,Remaining-life salvage,cap,Uniform,0.0,323,323,0,323,323,0,0,0,57246854.30551541,57246854.30551541,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Primary,Remaining-life salvage,cap,Matched additions,0.0,323,323,0,323,323,0,0,0,57246854.30551541,57246854.30551541,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Primary,Remaining-life salvage,cap,Strict selections,0.0,323,323,0,323,323,0,0,0,57246854.30551541,57246854.30551541,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Primary,Remaining-life salvage,cap,Uniform,0.25,323,332,9,323,332,9,332,323,57246854.30551541,68315505.76174942,11068651.456234,11193577.02020491,559678.8510102455,11753255.871215155,110742.89575774231,134862.37373740855,1,1,303440.34090916923,0.0,10890136.67929574
Primary,Remaining-life salvage,cap,Matched additions,0.25,323,332,9,323,332,9,9,0,57246854.30551541,57246863.30551541,9.0,124934.56397090788,6246.728198545395,131181.29216945329,110742.89575774231,134862.37373740855,1,1,124934.56397090788,0.0,0.0
Primary,Remaining-life salvage,cap,Strict selections,0.25,323,332,9,323,332,9,9,0,57246854.30551541,57246863.30551541,9.0,124934.56397090788,6246.728198545395,131181.29216945329,110742.89575774231,134862.37373740855,1,1,124934.56397090788,0.0,0.0
Primary,Remaining-life salvage,cap,Uniform,0.5,323,336,13,323,336,13,336,323,57246854.30551541,79574318.1388351,22327463.833319698,22656878.787884638,1132843.939394232,23789722.72727887,156237.78759600932,134862.37373740855,1,1,876605.4292931556,0.0,21780273.35859148
Primary,Remaining-life salvage,cap,Matched additions,0.5,323,336,13,323,336,13,13,0,57246854.30551541,57246867.30551541,13.0,329427.9545649391,16471.397728246953,345899.35229318606,156237.78759600932,134862.37373740855,1,1,329427.95456493914,0.0,0.0
Primary,Remaining-life salvage,cap,Strict selections,0.5,323,336,13,323,336,13,13,0,57246854.30551541,57246867.30551541,13.0,329427.9545649391,16471.397728246953,345899.35229318606,156237.78759600932,134862.37373740855,1,1,329427.95456493914,0.0,0.0
Primary,Remaining-life salvage,cap,Uniform,0.75,323,337,14,323,337,14,337,323,57246854.30551541,90926119.20842013,33679264.9029047,34086464.96213001,1704323.2481065006,35790788.21023651,166944.94163027953,134862.37373740855,1,1,1416054.9242427894,0.0,32670410.037887216
Primary,Remaining-life salvage,cap,Matched additions,0.75,323,337,14,323,337,14,14,0,57246854.30551541,57246868.30551541,14.0,407214.0592253087,20360.702961265437,427574.76218657417,166944.94163027953,134862.37373740855,1,1,407214.0592253087,0.0,0.0
Primary,Remaining-life salvage,cap,Strict selections,0.75,323,337,14,323,337,14,14,0,57246854.30551541,57246868.30551541,14.0,407214.0592253087,20360.702961265437,427574.76218657417,166944.94163027953,134862.37373740855,1,1,407214.0592253087,0.0,0.0
Primary,Remaining-life salvage,cap,Uniform,1.0,323,337,14,323,337,14,337,323,57246854.30551541,102288274.19579679,45041419.89028137,45448619.949506685,2272430.9974753344,47721050.94698202,166944.94163027953,134862.37373740855,1,1,1888073.2323237197,0.0,43560546.71718296
Primary,Remaining-life salvage,cap,Matched additions,1.0,323,337,14,323,337,14,14,0,57246854.30551541,57246868.30551541,14.0,407214.0592253087,20360.702961265437,427574.76218657417,166944.94163027953,134862.37373740855,1,1,407214.0592253087,0.0,0.0
Primary,Remaining-life salvage,cap,Strict selections,1.0,323,337,14,323,337,14,14,0,57246854.30551541,57246868.30551541,14.0,407214.0592253087,20360.702961265437,427574.76218657417,166944.94163027953,134862.37373740855,1,1,407214.0592253087,0.0,0.0
Primary,Remaining-life salvage,area,Uniform,0.0,337,337,0,133,133,0,0,0,309936359.6841799,309936359.6841799,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Primary,Remaining-life salvage,area,Matched additions,0.0,337,337,0,133,133,0,0,0,309936359.6841799,309936359.6841799,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Primary,Remaining-life salvage,area,Strict selections,0.0,337,337,0,133,133,0,0,0,309936359.6841799,309936359.6841799,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Primary,Remaining-life salvage,area,Uniform,0.25,337,337,0,133,290,157,290,133,309936359.6841799,326099914.9131468,16163555.228966873,21636017.872168716,1081800.8936084358,22717818.765777152,645241.5742100494,298427.83271956845,0,1,11713292.434243063,0.0,9922725.437925652
Primary,Remaining-life salvage,area,Matched additions,0.25,337,337,0,133,290,157,157,0,309936359.6841799,309936516.6841799,157.0,5472619.643201835,273630.9821600918,5746250.625361928,645241.5742100494,298427.83271956845,0,1,5472619.643201835,0.0,0.0
Primary,Remaining-life salvage,area,Strict selections,0.25,337,337,0,133,290,157,157,0,309936359.6841799,309936516.6841799,157.0,5472619.643201835,273630.9821600918,5746250.625361928,645241.5742100494,298427.83271956845,0,1,5472619.643201835,0.0,0.0
Primary,Remaining-life salvage,area,Uniform,0.5,337,337,0,133,329,196,329,133,309936359.6841799,349295263.9311077,39358904.24692776,49091378.48236902,2454568.9241184513,51545947.40648747,905771.0979556094,298427.83271956845,0,1,29245927.606517714,0.0,19845450.875851303
Primary,Remaining-life salvage,area,Matched additions,0.5,337,337,0,133,329,196,196,0,309936359.6841799,309936555.6841799,196.0,9732670.23544126,486633.51177206304,10219303.747213323,905771.0979556094,298427.83271956845,0,1,9732670.23544126,0.0,0.0
Primary,Remaining-life salvage,area,Strict selections,0.5,337,337,0,133,329,196,196,0,309936359.6841799,309936555.6841799,196.0,9732670.23544126,486633.51177206304,10219303.747213323,905771.0979556094,298427.83271956845,0,1,9732670.23544126,0.0,0.0
Primary,Remaining-life salvage,area,Uniform,0.75,337,337,0,133,337,204,337,133,309936359.6841799,374135479.39857256,64199119.71439263,75427634.71987092,3771381.7359935464,79199016.45586447,956565.3283778692,298427.83271956845,1,1,45659458.40609398,0.0,29768176.31377696
Primary,Remaining-life salvage,area,Matched additions,0.75,337,337,0,133,337,204,204,0,309936359.6841799,309936563.6841799,203.9999999999709,11228719.005478304,561435.9502739152,11790154.95575222,956565.3283778692,298427.83271956845,1,1,11228719.005478304,0.0,0.0
Primary,Remaining-life salvage,area,Strict selections,0.75,337,337,0,133,337,204,204,0,309936359.6841799,309936563.6841799,203.9999999999709,11228719.005478304,561435.9502739152,11790154.95575222,956565.3283778692,298427.83271956845,1,1,11228719.005478304,0.0,0.0
Primary,Remaining-life salvage,area,Uniform,1.0,337,337,0,133,337,204,337,133,309936359.6841799,399278024.30519617,89341664.62101625,100570179.62649459,5028508.9813247295,105598688.60781932,956565.3283778692,298427.83271956845,1,1,60879277.87479198,0.0,39690901.75170261
Primary,Remaining-life salvage,area,Matched additions,1.0,337,337,0,133,337,204,204,0,309936359.6841799,309936563.6841799,203.9999999999709,11228719.005478304,561435.9502739152,11790154.95575222,956565.3283778692,298427.83271956845,1,1,11228719.005478304,0.0,0.0
Primary,Remaining-life salvage,area,Strict selections,1.0,337,337,0,133,337,204,204,0,309936359.6841799,309936563.6841799,203.9999999999709,11228719.005478304,561435.9502739152,11790154.95575222,956565.3283778692,298427.83271956845,1,1,11228719.005478304,0.0,0.0
Alternative area estimator,Central,cap,Uniform,0.0,258,258,0,128,128,0,0,0,30562211.086180877,30562211.086180877,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Alternative area estimator,Central,cap,Matched additions,0.0,258,258,0,128,128,0,0,0,30562211.086180877,30562211.086180877,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Alternative area estimator,Central,cap,Strict selections,0.0,258,258,0,128,128,0,0,0,30562211.086180877,30562211.086180877,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Alternative area estimator,Central,cap,Uniform,0.25,258,290,32,128,285,157,285,128,30562211.086180877,38037887.03886492,7475675.952684044,9608944.12879036,480447.206439518,10089391.33522988,191405.15238996304,134862.37373740855,1,1,1078898.9898992684,4214449.179294016,4315595.9595970735
Alternative area estimator,Central,cap,Matched additions,0.25,258,290,32,128,160,32,32,0,30562211.086180877,30562243.086180877,32.0,467931.2493002986,23396.56246501493,491327.8117653135,469306.44165254605,134862.37373740855,1,0,467931.24930029863,0.0,0.0
Alternative area estimator,Central,cap,Strict selections,0.25,258,290,32,128,285,157,157,0,30562211.086180877,30562368.086180877,157.0,2133425.176106315,106671.25880531577,2240096.434911631,191405.15238996304,134862.37373740855,1,1,467931.24930029863,1665493.9268060166,0.0
Alternative area estimator,Central,cap,Uniform,0.5,258,306,48,128,306,178,306,128,30562211.086180877,48063813.24281615,17501602.15663527,20633943.181823507,1031697.1590911754,21665640.34091468,397479.6099617444,134862.37373740855,1,1,3236696.969697805,8766054.292931555,8631191.919194147
Alternative area estimator,Central,cap,Matched additions,0.5,258,306,48,128,176,48,48,0,30562211.086180877,30562259.086180877,48.0,1275644.0970977107,63782.20485488554,1339426.3019525963,689615.9819001375,134862.37373740855,1,0,1275644.097097711,0.0,0.0
Alternative area estimator,Central,cap,Strict selections,0.5,258,306,48,128,306,178,178,0,30562211.086180877,30562389.086180877,178.0,3132519.025188237,156625.95125941184,3289144.976447649,397479.6099617444,134862.37373740855,1,1,1275644.097097711,1856874.928090526,0.0
Alternative area estimator,Central,cap,Uniform,0.75,258,324,66,128,324,196,324,128,30562211.086180877,58687615.29149518,28125404.20531431,32771556.818190273,1638577.8409095136,34410134.65909979,630199.0268923938,134862.37373740855,1,1,6675687.500001723,13149081.439397333,12946787.878791217
Alternative area estimator,Central,cap,Matched additions,0.75,258,324,66,128,194,66,66,0,30562211.086180877,30562277.086180877,66.0,2789473.6847854406,139473.68423927203,2928947.3690247126,922335.3988307869,134862.37373740855,1,0,2789473.6847854406,0.0,0.0
Alternative area estimator,Central,cap,Strict selections,0.75,258,324,66,128,324,196,196,0,30562211.086180877,30562407.086180877,196.0,4646348.612875966,232317.43064379832,4878666.043519765,630199.0268923938,134862.37373740855,1,1,2789473.6847854406,1856874.928090526,0.0
Alternative area estimator,Central,cap,Uniform,1.0,258,333,75,128,333,205,333,128,30562211.086180877,69803256.13525718,39241045.049076304,44909170.45455705,2245458.522727852,47154628.9772849,739932.0603886959,134862.37373740855,1,1,10114678.030305639,17532108.58586311,17262383.838388294
Alternative area estimator,Central,cap,Matched additions,1.0,258,333,75,128,203,75,75,0,30562211.086180877,30562286.086180877,75.0,3811455.4773902106,190572.77386951054,4002028.2512597213,1032068.432327089,134862.37373740855,1,0,3811455.4773902106,0.0,0.0
Alternative area estimator,Central,cap,Strict selections,1.0,258,333,75,128,333,205,205,0,30562211.086180877,30562416.086180877,205.0,5668330.405480737,283416.52027403685,5951746.925754774,739932.0603886959,134862.37373740855,1,1,3811455.4773902106,1856874.928090526,0.0
Alternative area estimator,Central,area,Uniform,0.0,337,337,0,133,133,0,0,0,308818315.6574989,308818315.6574989,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative area estimator,Central,area,Matched additions,0.0,337,337,0,133,133,0,0,0,308818315.6574989,308818315.6574989,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative area estimator,Central,area,Strict selections,0.0,337,337,0,133,133,0,0,0,308818315.6574989,308818315.6574989,0.0,0.0,0.0,0.0,0.0,298427.83271956845,1,1,0.0,0.0,0.0
Alternative area estimator,Central,area,Uniform,0.25,337,337,0,133,291,158,291,133,308818315.6574989,324975235.17233753,16156919.514838671,21710624.830348607,1085531.2415174304,22796156.07186604,644577.1536174647,298427.83271956845,1,1,11787899.392422955,0.0,9922725.437925652
Alternative area estimator,Central,area,Matched additions,0.25,337,337,0,133,291,158,158,0,308818315.6574989,308818473.6574989,158.0,5553863.315509928,277693.16577549645,5831556.481285425,644577.1536174647,298427.83271956845,1,1,5553863.315509929,0.0,0.0
Alternative area estimator,Central,area,Strict selections,0.25,337,337,0,133,291,158,158,0,308818315.6574989,308818473.6574989,158.0,5553863.315509928,277693.16577549645,5831556.481285425,644577.1536174647,298427.83271956845,1,1,5553863.315509929,0.0,0.0
Alternative area estimator,Central,area,Uniform,0.5,337,337,0,133,337,204,337,133,308818315.6574989,348975782.18679523,40157466.52929637,50285089.81324729,2514254.4906623648,52799344.30390966,795276.1513082914,298427.83271956845,1,1,30439638.93739599,0.0,19845450.875851303
Alternative area estimator,Central,area,Matched additions,0.5,337,337,0,133,337,204,204,0,308818315.6574989,308818519.6574989,204.00000000001455,10127827.283950929,506391.36419754644,10634218.648148475,795276.1513082914,298427.83271956845,1,1,10127827.28395093,0.0,0.0
Alternative area estimator,Central,area,Strict selections,0.5,337,337,0,133,337,204,204,0,308818315.6574989,308818519.6574989,204.00000000001455,10127827.283950929,506391.36419754644,10634218.648148475,795276.1513082914,298427.83271956845,1,1,10127827.28395093,0.0,0.0
