spatial_case,accounting,context,strategy,support_fraction,before_viable,after_viable,new_viable,before_target,after_target,new_target,supported_projects,baseline_adopters_paid,before_npv_usd,after_npv_usd,private_gain_usd,direct_support_usd,admin_usd,public_cost_usd,extra_mwh,full_instrument_ceiling_usd,matched_set_is_global_rank_prefix,all_choices_match_uniform,objective_support_usd,other_switch_support_usd,baseline_adopter_support_usd
Primary,Central,cap,Uniform,0.0,258,258,0,135,135,0,0,0,30615326.90499036,30615326.90499036,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Primary,Central,cap,Matched additions,0.0,258,258,0,135,135,0,0,0,30615326.90499036,30615326.90499036,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Primary,Central,cap,Strict selections,0.0,258,258,0,135,135,0,0,0,30615326.90499036,30615326.90499036,0.0,0.0,0.0,0.0,0.0,134862.37373740855,1,1,0.0,0.0,0.0
Primary,Central,cap,Uniform,0.25,258,291,33,135,291,156,291,135,30615326.90499036,38459817.17785956,7844490.272869208,9811237.689396473,490561.8844698237,10301799.573866297,214379.81702707618,134862.37373740855,1,1,1112614.5833336206,4147017.9924253123,4551605.113637537
Primary,Central,cap,Matched additions,0.25,258,291,33,135,168,33,33,0,30615326.90499036,30615359.90499036,33.0,475933.16330540983,23796.65816527049,499729.82147068036,484137.7913925762,134862.37373740855,1,0,475933.1633054098,0.0,0.0
Primary,Central,cap,Strict selections,0.25,258,291,33,135,291,156,156,0,30615326.90499036,30615482.90499036,156.0,1966903.4165272643,98345.17082636322,2065248.5873536277,214379.81702707618,134862.37373740855,1,1,475933.1633054098,1490970.253221855,0.0
Primary,Central,cap,Uniform,0.5,258,306,48,135,306,171,306,135,30615326.90499036,48542963.15822591,17927636.253235552,20633943.181823507,1031697.1590911754,21665640.34091468,421361.4180779278,134862.37373740855,1,1,3236696.969697805,8294035.984850625,9103210.227275074
Primary,Central,cap,Matched additions,0.5,258,306,48,135,183,48,48,0,30615326.90499036,30615374.90499036,48.0,1215507.6753661013,60775.383768305066,1276283.0591344065,691119.3924434278,134862.37373740855,1,0,1215507.6753661013,0.0,0.0
Primary,Central,cap,Strict selections,0.5,258,306,48,135,306,171,171,0,30615326.90499036,30615497.90499036,171.0,2706477.9285879564,135323.89642939784,2841801.8250173545,421361.4180779278,134862.37373740855,1,1,1215507.6753661013,1490970.253221855,0.0
Primary,Central,cap,Uniform,0.75,258,325,67,135,325,190,325,135,30615326.90499036,59178883.06741395,28563556.162423592,32872703.59849333,1643635.1799246666,34516338.778418,666886.4846038837,134862.37373740855,1,1,6776834.280304779,12441053.977275938,13654815.340912614
