csi_case,single_case,cities,positive_all_on,min_all_on_pct,mean_all_on_pct,max_all_on_pct,q1_q4_pp,positive_all_off,min_all_off_pct,mean_all_off_pct,max_all_off_pct,density_50pct_target_multiplier,density_90pct_target_multiplier,all_on_sign_disagreements_grid,all_off_sign_disagreements_grid,max_all_on_grid_difference_pp
Baseline,Baseline,337,337,0.43892033348185144,3.362721998573413,5.587178615704302,1.5675935781234864,337,0.4021288981309601,0.7238638182016686,1.0917949883088918,1.1016897598153654,1.1240041273569186,0,0,4.440892098500626e-14
Baseline,Rs 0.8,337,335,-0.23088997591117488,2.589854784539706,4.75551593333392,1.2905978691387385,84,-0.03906703136558054,-0.007863315152651526,0.055642883428097534,1.1101415269124744,1.1309297610292848,0,0,6.79496762190368e-05
Baseline,Rs 1.2,337,337,1.1625793556096387,4.197966411791513,6.509456568435068,1.867637418503636,337,0.8643104070980678,1.5145425710816152,2.2131627766760698,1.092815396672899,1.1166238645977196,0,0,7.456006987371921e-05
Baseline,Rsh 0.5,337,337,0.452900834586889,3.38026834059533,5.606496000572014,1.5757745668555678,337,0.4107637548133036,0.7401160059886269,1.1174687353066037,1.1014964701704062,1.123861871754908,0,0,9.05396246864143e-06
Baseline,Rsh 2.0,337,337,0.43192486501915095,3.353948773698007,5.577521773222127,1.5635036660480557,337,0.39781141392907227,0.715737315656281,1.0789570708589435,1.1017864274249851,1.124075291925693,0,0,4.52430837238893e-06
Baseline,Ideality low,337,337,0.6435715296910338,3.611119676985578,5.857364894580597,1.6907530605641812,337,0.5201199144179824,0.9540184903840488,1.46942664962042,1.0990223532442152,1.1221283635062878,0,0,0.00017288050389030474
Baseline,Ideality high,337,337,0.22852102238286598,3.107683398650232,5.309889017214009,1.4415530080792345,337,0.28073603575973216,0.4874678691301122,0.7065520746922571,1.104479489444961,1.1260722687205067,0,0,0.0001794622198625362
Rs 0.8,Baseline,337,337,1.0296304078482033,4.079097528625674,6.374096265057383,1.825144284151699,337,0.7792892141406327,1.3713854832462624,2.012445249684336,1.0939701616056017,1.117801146246715,0,0,6.69441776901536e-05
Rs 0.8,Rs 0.8,337,337,0.3558807520707141,3.3007155844573544,5.536235386545707,1.5443731302997987,337,0.3493649693758538,0.6348220857975568,0.9668568329219029,1.1023386504950288,1.124688559797108,0,0,1.766467219166401e-05
Rs 0.8,Rs 1.2,337,337,1.757545476072031,4.920302182432273,7.515896626245344,2.1292733572460096,337,1.2432069066517393,2.1672905731817416,3.1519002831721155,1.0851369662422927,1.1106109770894788,0,0,0.0001366339824393492
Rs 0.8,Rsh 0.5,337,337,1.0436931322867826,4.096770222330818,6.393557618078161,1.8334249486279246,337,0.7879565076379214,1.3877457342760027,2.0383528093459446,1.0937949307886965,1.1176596757030421,0,0,7.559197976458876e-05
Rs 0.8,Rsh 2.0,337,337,1.0225937970306909,4.070261128773028,6.364367452285968,1.8210045381025322,337,0.774955511321429,1.3632049462794433,1.9994904163950888,1.094057791913692,1.1178719180834122,0,0,6.263943808093586e-05
Rs 0.8,Ideality low,337,337,1.2354852163914298,4.329286162706946,6.714238074449774,1.9497694668849506,337,0.8977234633498865,1.6030736804645156,2.3935160297466007,1.0914033034995976,1.115890604886036,0,0,0.00023675343003848326
Rs 0.8,Ideality high,337,337,0.8179936781042008,3.822220344192015,6.094740089148387,1.6976018394799754,337,0.6574403398218909,1.1334145662168182,1.6314526942823537,1.0967417336751648,1.1200301067019827,0,0,0.00013320693510454618
Rs 1.2,Baseline,337,335,-0.18532533554856956,2.6072709257075832,4.757955802892444,1.2991175886912014,337,0.00196082935872699,0.04039698126447888,0.12409705920455316,1.1099832841343311,1.130640351076516,0,0,6.280149316140182e-05
Rs 1.2,Rs 0.8,337,317,-0.8509726553025065,1.8402172316913636,3.932824535394852,1.0260788763147566,0,-0.9261777967745188,-0.6862268621577774,-0.42464733408253963,1.1184884130223427,1.13737108602178,0,0,0.00012644796409944092
Rs 1.2,Rs 1.2,337,337,0.5338360176584622,3.4362321759169276,5.6497799429303,1.594879720711126,337,0.46230024310438544,0.8255608387549189,1.2340890543946381,1.1009353351452154,1.1232125170839737,0,0,1.7692092213472677e-05
Rs 1.2,Rsh 0.5,337,335,-0.17143172573265142,2.624684084897239,4.7771214797931005,1.3071940349435067,337,0.010561270496678432,0.05653514655623265,0.14952504509173625,1.1097957596038943,1.1304972555843504,0,0,5.508619436156437e-05
Rs 1.2,Rsh 2.0,337,335,-0.19227732593647406,2.5985642913520803,4.748374799865318,1.2950799437472655,330,-0.002339446848331761,0.03232749292018062,0.11138203230305344,1.11008067945805,1.1307119358074478,0,0,6.663430252018543e-05
Rs 1.2,Ideality low,337,337,0.018053917249916118,2.8537808513447094,5.02602018942262,1.420739557820847,337,0.11948157437124962,0.268933596510953,0.49811385368483396,1.1072294274354075,1.1286243307633026,0,0,0.00011529765511220091
Rs 1.2,Ideality high,337,333,-0.3944169776853079,2.354170284801165,4.48284388225888,1.1746524652498664,0,-0.2653165498191834,-0.1943371819243456,-0.11894820315919707,1.1127862304671898,1.132720702936879,0,0,0.00023300334224263253
Rsh 0.5,Baseline,337,337,0.4311582714351392,3.3512830605246005,5.5740770249256055,1.5621136061366228,337,0.3967722437377308,0.7137697683681333,1.0758354972405737,1.1018171200177524,1.1240903846289347,0,0,7.465978590914801e-06
Rsh 0.5,Rs 0.8,337,335,-0.23860027406832351,2.5785049148329184,4.742517537888902,1.2851889642843224,37,-0.048080567523423046,-0.017881541055550055,0.03984697101879764,1.110269864176469,1.1310165497817937,0,0,7.532719843439395e-05
Rsh 0.5,Rs 1.2,337,337,1.1547613681685442,4.186431207264398,6.493070339962648,1.8620805596583945,337,0.8589290943969097,1.5043665801581894,2.1972906258854286,1.092931099144877,1.1167055811751339,0,0,6.828093248589795e-05
Rsh 0.5,Rsh 0.5,337,337,0.44513769210725584,3.3688273539478595,5.593392012831155,1.5702927494303767,337,0.4054066397332079,0.7300202591983589,1.101505191090979,1.1016238080276561,1.1239481181100777,0,0,1.5925205820721544e-06
Rsh 0.5,Rsh 2.0,337,337,0.42416334359214325,3.3425108599242086,5.564421380694973,1.55802461671238,337,0.3924549898822738,0.7056441143454828,1.0629996065290692,1.1019170370025397,1.1241615546589538,0,0,1.1988546932961697e-05
Rsh 0.5,Ideality low,337,337,0.6357936519099772,3.5996516903985634,5.844229778234622,1.6852460657157518,337,0.514756964968055,0.9439003452968809,1.4534075413583647,1.0991510712098504,1.1222025292068436,0,0,0.00016552419623838688
Rsh 0.5,Ideality high,337,337,0.22077522029297914,3.0962742799427208,5.296821833404941,1.4361007314737986,337,0.27538585791850867,0.47739856511867357,0.6909138776468371,1.1046384527673787,1.12615868470389,0,0,0.00018669925512249108
Rsh 2.0,Baseline,337,337,0.44280750464578134,3.3684426670912244,5.5937291059990235,1.5703338204028046,337,0.4048075910960014,0.7289120330394075,1.0997774171224384,1.1016260840416148,1.1239609708187523,0,0,3.7244427320004547e-06
Rsh 2.0,Rs 0.8,337,335,-0.22702872763961102,2.5955309106643054,4.762014828364891,1.2933025725086083,113,-0.0345593803972255,-0.0028530214500048358,0.06354349540953486,1.1100773626411182,1.1308863385789507,0,1,6.426937511072595e-05
