technology,electrical_case,I_L_ref,I_o_ref,R_s,R_sh_ref,n_ideality,alpha_sc,Ea_recomb,stc_cell_pmax_w,stc_cell_voc_v,stc_cell_isc_a,stc_ff,pmax_error_pct,voc_error_pct,gamma_pct_c,gamma_error_pp_c
c-Si-modern,Baseline,11.0962,4e-10,0.004,15.0,1.02,0.0040279206,0.9957,5.3539321617613345,0.630063323911277,11.093241800411796,0.7660024957124771,0.0,0.0,-0.3213649168004929,0.0
c-Si-modern,Rs 0.8,10.905298335197294,3.930857608552771e-10,0.0032,15.0,1.02,0.003958623295676618,1.0040743403602022,5.353932161761306,0.6300633239112768,10.902972366663898,0.7793701220997797,-5.329070518200751e-13,-2.220446049250313e-14,-0.3213649168004948,-1.887379141862766e-15
c-Si-modern,Rs 1.2,11.30103655574303,4.074166512124566e-10,0.0048,15.0,1.02,0.004102276269734721,0.9871093764670522,5.353932161761325,0.630063323911277,11.297421378083177,0.7521584457442931,-1.7763568394002505e-13,0.0,-0.3213649168004987,-5.828670879282072e-15
c-Si-modern,Rsh 0.5,11.132781888139586,3.9980707463172387e-10,0.004,7.5,1.02,0.004041199825394671,0.9971646348572433,5.353932161761334,0.6300633239112768,11.126847567651756,0.7636889831547083,-1.1102230246251565e-14,-2.220446049250313e-14,-0.3213649168004971,-4.218847493575595e-15
c-Si-modern,Rsh 2.0,11.07790820293632,4.000967217259086e-10,0.004,30.0,1.02,0.004021280677665885,0.9949698634156091,5.353932161761326,0.630063323911277,11.076431343654217,0.7671650408888833,-1.6653345369377348e-13,0.0,-0.3213649168004922,7.216449660063518e-16
c-Si-modern,Ideality low,11.060647929083018,2.4650833507829496e-10,0.004,15.0,1.0,0.004015015198257136,1.0191714710707351,5.353932161761336,0.6300633239112771,11.05769920816193,0.7684646457361813,2.220446049250313e-14,2.220446049250313e-14,-0.3213649168004979,-4.9960036108132044e-15
c-Si-modern,Ideality high,11.27675648347255,3.6167693280705096e-09,0.004,15.0,1.122,0.004093462603500536,0.8893147310382832,5.35393216176133,0.6300633239112768,11.273750136433389,0.7537377360525477,-7.771561172376096e-14,-2.220446049250313e-14,-0.32136491680050144,-8.548717289613705e-15
perovskite,Baseline,5.48,9.5e-12,0.016,30.0,1.6,0.0010960000000000002,0.8258,4.694013978386371,1.112961400672494,5.477078891187451,0.7700435358339565,0.0,0.0,-0.1508282853722699,0.0
perovskite,Rs 0.8,5.374130438877523,9.315073764160374e-12,0.0128,30.0,1.6,0.0010748260877755046,0.8306751685435084,4.694013978386384,1.1129614006724942,5.371838454430001,0.7851295661978437,2.886579864025407e-13,2.220446049250313e-14,-0.15082828537227247,-2.581268532253489e-15
perovskite,Rs 1.2,5.594751153482342,9.700384783666888e-12,0.0192,30.0,1.6,0.0011189502306964685,0.8207989076468534,4.694013978386364,1.1129614006724935,5.591172802766169,0.7543299669301763,-1.5543122344752192e-13,-4.440892098500626e-14,-0.15082828537226628,3.608224830031759e-15
perovskite,Rsh 0.5,5.512715456422703,9.492490433413173e-12,0.016,15.0,1.6,0.0011025430912845408,0.8272776910601299,4.694013978386368,1.112961400672494,5.506841492093011,0.7658817130413733,-5.551115123125783e-14,0.0,-0.1508282853722733,-3.4139358007223564e-15
perovskite,Rsh 2.0,5.463640867601959,9.503768566070488e-12,0.016,60.0,1.6,0.001092728173520392,0.8250658362212308,4.6940139783863595,1.1129614006724937,5.4621842850557965,0.7721433359453961,-2.4424906541753444e-13,-2.220446049250313e-14,-0.15082828537226994,-5.551115123125783e-17
perovskite,Ideality low,5.397019652321989,4.61950124952003e-13,0.016,30.0,1.4400000000000002,0.0010794039304643979,0.9352016335732339,4.694013978386369,1.112961400672494,5.394142776170399,0.7818831221975568,-3.3306690738754696e-14,0.0,-0.15082828537226492,4.9682480351975755e-15
perovskite,Ideality high,5.5623361213586255,1.130220324286736e-10,0.016,30.0,1.7600000000000002,0.0011124672242717251,0.7366768547839286,4.694013978386367,1.112961400672494,5.559371122731431,0.7586450161901261,-9.992007221626409e-14,0.0,-0.15082828537227147,-1.582067810090848e-15
