gap_eV,zenith_deg,temperature_C,legacy_factor,explicit_matched_factor,raw_ratio_factor
1.6,0,-10,0.8988852901143459,0.8988852901143459,0.8988852901143459
1.6,0,25,0.9344023336948887,0.9344023336948887,0.9344023336948887
1.6,0,60,0.9671743644099674,0.9671743644099674,0.9671743644099674
1.6,0,80,0.985022230443116,0.985022230443116,0.985022230443116
1.6,20,-10,0.9015951707432073,0.9015951707432073,0.9015951707432073
1.6,20,25,0.9371733068811112,0.9371733068811112,0.9371733068811112
1.6,20,60,0.9699250461463612,0.9699250461463611,0.9699250461463611
1.6,20,80,0.9877275243442766,0.9877275243442766,0.9877275243442766
1.6,40,-10,0.9113595258155682,0.9113595258155681,0.9113595258155681
1.6,40,25,0.9471696573664987,0.9471696573664988,0.9471696573664988
1.6,40,60,0.9798717382004581,0.979871738200458,0.979871738200458
1.6,40,80,0.9945771277890791,0.9945771277890791,0.9975290970864371
1.6,60,-10,0.9362630487286403,0.9362630487286403,0.9362630487286403
1.6,60,25,0.9727227757462582,0.9727227757462583,0.9727227757462583
1.6,60,60,0.999980664328542,0.999980664328542,1.0054141014741496
1.6,60,80,0.9922993214610636,0.9922993214610636,1.0227929708099364
1.6,80,-10,0.9856498579870339,0.985649857987034,1.013448484425494
1.6,80,25,0.9702674124864547,0.9702674124864549,1.052022195184344
1.6,80,60,0.9556215103883632,0.9556215103883632,1.0848577235395633
1.6,80,80,0.947547349682879,0.9475473496828791,1.1015210764483063
1.68,0,-10,0.9125935590514727,0.9125935590514727,0.9125935590514727
1.68,0,25,0.942237206314133,0.9422372063141331,0.9422372063141331
1.68,0,60,0.9691811974635078,0.9691811974635077,0.9691811974635077
1.68,0,80,0.9834463252539403,0.9834463252539403,0.9834463252539403
1.68,20,-10,0.9154065440534299,0.9154065440534298,0.9154065440534298
1.68,20,25,0.9450900103018969,0.9450900103018968,0.9450900103018968
1.68,20,60,0.972010651986409,0.972010651986409,0.972010651986409
1.68,20,80,0.9862340748459635,0.9862340748459634,0.9862340748459634
1.68,40,-10,0.925502538461163,0.9255025384611631,0.9255025384611631
1.68,40,25,0.9553387641717598,0.9553387641717597,0.9553387641717597
1.68,40,60,0.9821945860833248,0.9821945860833248,0.9821945860833248
1.68,40,80,0.9956728408071666,0.9956728408071667,0.996283146118754
1.68,60,-10,0.9509945766133682,0.9509945766133682,0.9509945766133682
1.68,60,25,0.9812623049977133,0.9812623049977132,0.9812623049977132
1.68,60,60,0.9974322167467684,0.9974322167467683,1.0062978711089032
1.68,60,80,0.9901591160980666,0.9901591160980666,0.9989601236647504
1.68,80,-10,0.9702710370287355,0.9702710370287356,0.9788952698412103
1.68,80,25,0.9554592254528868,0.9554592254528868,0.9639518038033301
1.68,80,60,0.9416446453192169,0.9416446453192169,0.9500144330774107
1.68,80,80,0.9341220089686504,0.9341220089686504,0.9424249319387852
1.75,0,-10,0.9193774095859762,0.9193774095859762,1.0320970155855604
1.75,0,25,0.9471740388072011,0.9471740388072012,1.0172830702482945
1.75,0,60,0.9716162518583424,0.9716162518583428,1.0038569296117776
1.75,0,80,0.9840671145212305,0.9840671145212307,0.9967434837467016
1.75,20,-10,0.9221937019696685,0.9221937019696688,1.0323428043115694
1.75,20,25,0.9500188869054369,0.950018886905437,1.0174814970737918
1.75,20,60,0.9744378757644186,0.9744378757644188,1.0040109471708294
1.75,20,80,0.9868513365571624,0.9868513365571625,0.9968747161602802
1.75,40,-10,0.9322616356887506,0.9322616356887509,1.0320806718412525
1.75,40,25,0.9601964894368686,0.9601964894368689,1.0170575291910087
1.75,40,60,0.9845481872013062,0.9845481872013062,1.00343528270273
1.75,40,80,0.9962214941423393,0.9962214941423392,0.9962214941423392
1.75,60,-10,0.9574142910805945,0.9574142910805945,1.0248882962346744
1.75,60,25,0.9856543038185674,0.9856543038185674,1.0095103245649282
1.75,60,60,0.9955555128416924,0.9955555128416924,0.9955555128416924
1.75,60,80,0.9881736651805348,0.9881736651805348,0.9881736651805348
1.75,80,-10,0.9624005888790252,0.9624005888790251,0.9624005888790251
1.75,80,25,0.946539925686641,0.9465399256866409,0.9465399256866409
1.75,80,60,0.9321216160327759,0.932121616032776,0.932121616032776
1.75,80,80,0.9245324087487095,0.9245324087487096,0.9245324087487096
