gap_eV,top_reference_A_m2,bottom_reference_A_m2,top_bottom_ratio,top_collection_scale,bottom_collection_scale,matched_current_A_m2
1.6,225.39284622297586,179.41859499370833,1.2562401697041474,0.7960261294904352,1.0,179.41859499370833
1.68,203.5224267032666,201.72935971793578,1.0088884780472112,0.9911898309470085,1.0,201.72935971793578
1.75,185.274211058205,220.34364441993435,0.8408420925683998,1.0,0.8408420925683998,185.274211058205
