gamma,gap,matched_positive,raw_positive,raw_area_positive,raw_area_min,raw_mean,matched_mean,classification_changed
-0.4,1.6,0,0,337,25.542773754318617,-1.6774298871769275,-2.0195716184938255,0
-0.4,1.68,0,0,337,25.91301829093675,-1.4700121476429693,-1.5621853872003508,0
-0.4,1.75,0,337,337,29.071159724688766,1.5905181697588777,-1.2998110869189994,337
-0.3,1.6,0,0,337,26.45502748564401,-0.8778046694450735,-1.2173965759879208,0
-0.3,1.68,0,0,337,27.02109433399691,-0.6667905795575468,-0.7585710557000951,0
-0.3,1.75,4,337,337,29.93757320891617,2.387784056024856,-0.4957578911863267,333
-0.2,1.6,111,177,337,26.289418027938318,-0.09898393524831887,-0.4358980063863266,66
-0.2,1.68,193,212,337,26.715621651149224,0.1143178194271695,0.0229417208346941,19
-0.2,1.75,226,337,337,29.48677863153555,3.150679021986855,0.28512284587132664,111
